Identifier;Competency Question /Natural language sentence (fact);Answer (For Competency Questions);Status (Proposed, Accepted, Rejected, Deprecated);Comments (optional);Extracted from (provenance);Relation with other requirements (optional);Associated ontology elements (to be used after ontology  conceptualization assignment)
1;¿Qué Pokemons existen en el dataset?;Lista de nombres de Pokemon;Accepted;;;;
2;¿Qué tipos existen?;Lista de tipos;Accepted;;;;
3;¿Qué habilidades existen?;Lista de habilidades;Accepted;;;;
4;¿Qué movimientos existen?;Lista de movimientos;Accepted;;;;
5;¿Cuáles son las estadísticas de un Pokemon?;Valores de stats, siendo estas: HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,E_HP,E_Attack,E_Defense,E_SP_Attack,E_SP_Defense,E_Speed;Accepted;;;;
6;¿Cuál es el BST (Base Stat Total, la suma de todas las stats) de un Pokemon?;Valor BST;Accepted;;;;
7;¿Cuál es la altura/peso/BMI de un Pokemon?;Valores físicos del Pokemon;Accepted;;;;
8;¿Qué tipo(s) tiene un Pokemon?;Tipo(s);Accepted;;;;
9;¿Qué Pokemon tienen un tipo específico?;Lista de Pokemon;Accepted;;;;
10;¿Qué Pokemon son débiles/resistentes a un tipo?;Lista de Pokemon;Accepted;;;;
11;¿Cuál es la efectividad de un tipo contra un Pokemon?;Multiplicador;Accepted;;;;
12;¿Qué habilidades tiene un Pokemon?;Lista de habilidades;Accepted;;;;
13;¿Qué Pokemon tienen una habilidad específica?;Lista de Pokemon;Accepted;;;;
14;¿Qué movimientos aprende un Pokemon?;Lista de movimientos;Accepted;;;;
15;¿Qué Pokemon pueden aprender un movimiento?;Lista de Pokemon;Accepted;;;;
16;¿Qué tipo tiene un movimiento?;Tipo;Accepted;;;;
17;¿A qué Pokemon evoluciona un Pokemon?;Lista de Pokemon (Todas las posibles evoluciones);Accepted;;;;
18;¿Qué Pokemon evolucionan a uno específico?;Lista de Pokemon;Accepted;;;;
19;¿Cuál es la cadena evolutiva completa?;Lista de Pokemon;Accepted;;;;
20;¿Es un Pokemon evolución final?;Booleano;Accepted;;;;
21;¿Qué tipo de experiencia tiene un Pokemon?;Tipo de experiencia;Accepted;;;;
22;¿Cuánta experiencia necesita para nivel 100?;Valor (int);Accepted;;;;
23;¿Qué Pokemon comparten tipo de experiencia?;Lista de Pokemon;Accepted;;;;
24;¿Cuál es el grupo huevo de un Pokemon?;Egg group;Accepted;;;;
25;¿Qué Pokemon pertenecen a un grupo huevo?;Lista de Pokemon;Accepted;;;;
26;¿Cuál es la distribución de género?;Probabilidad;Accepted;;;;
27;¿Es un Pokemon legendario?;Booleano;Accepted;;;;
28;¿Qué Pokemon son legendarios?;Lista de Pokemon;Accepted;;;;
29;¿Tiene mega evolución o forma regional?;Booleano;Accepted;;;;
30;¿Qué Pokemon maximizan una estadística?;Pokemon con mejor estadística X;Accepted;;;;
31;¿Qué Pokemon superan un umbral en una stat?;Lista de Pokemon;Accepted;;;;
32;¿Media de estadísticas por grupo (tipo/evolución)?;Valor;Accepted;;;;
