Identifier;Competency Question /Natural language sentence (fact);Answer (For Competency Questions);Status (Proposed, Accepted, Rejected, Deprecated);Comments (optional);Extracted from (provenance);Relation with other requirements (optional);Associated ontology elements (to be used after ontology  conceptualization assignment)
1;¿Qué Digimons existen en el dataset?;Lista de nombres de Digimon;Proposed;;;;
2;¿Cuál es el nivel de un Digimon específico?;Nivel del Digimon;Proposed;0 - 100;;;
3;¿Cuál es el atributo de un Digimon específico?;Atributo del digimon;Proposed;;;;
4;¿Cuál es el tipo de un Digimon específico?;Tipo del Digimon;Proposed;;;;
5;¿Cuáles son los puntos de vida (HP) de un Digimon?;Valor de HP de Digimon;Proposed;;;;
6;¿Cuál es el valor de ataque (ATK) de un Digimon?;Valor de ATK de Digimon;Proposed;;;;
7;¿Cuál es el valor de defensa (DEF) de un Digimon?;Valor de DEF de Digimon;Proposed;;;;
8;¿Cuál es la velocidad (SPD) de un Digimon?;Valor de SPD de Digimon;Proposed;;;;
9;¿Qué Digimon pertenecen a un nivel evolutivo específico?;Lista de nombres de Digimon con el nivel de evolución específico;Proposed;;;;
10;¿Qué Digimon tienen un atributo específico?;Lista de nombres de Digimon con el atributo específico;Proposed;;;;
11;¿Qué Digimon tienen un tipo específico?;Lista de nombres de Digimon con el tipo específico;Proposed;;;;
12;¿Qué Digimon superan un determinado valor en una estadística específica?;Lista de nombres de Digimon con valor mayor al mencionado en el atributo específico;Proposed;;;;
13;¿Qué Digimon pueden evolucionar a otro Digimon específico?;Nombre del Digimon que puede evolucionar al Digimon especificado;Proposed;;;;
14;¿Cuáles son todas las posibles evoluciones de un Digimon?;Lista de posibles evoluciones de un Digimon;Proposed;Por evoluciones se entienden todas las subsecuentes evoluciones de la evolución que pueda tener el Digimon especificado. Todas incluidas.; ;;
15;¿Qué Digimon no tienen evolución posterior?;Lista de nombres de Digimon sin evoluciones posteriores;Proposed;;;;
16;¿Qué movimientos puede aprender un Digimon específico?;Lista de movimientos que puede aprender el Digimon especificado;Proposed;Incluye todaslas habilidades que puede aprender de manera natural con la subida de nivel o por otros métodos; ;;
17;¿Qué Digimon pueden aprender un movimiento específico?;Lista de nombres de Digimon con capacidad de aprender el movimiento específico;Proposed;;;;
18;¿Cuál es el tipo de un movimiento específico?;Tipo del movimiento especificado.;Proposed;;;;
19;¿Cuál es el poder de un movimiento específico?;Valor del poder del movimiento especificado;Proposed;;;;
20;¿Cuántas evoluciones posibles tiene un Digimon?;Numero de evoluciones posibles del Digimon especificado;Proposed;Por evoluciones se entienden todas las subsecuentes evoluciones de la evolución que pueda tener el Digimon especificado. Todas incluidas.; ;;
21;¿Qué Digimon comparten el mismo tipo y atributo?;Lista de Digimon con el atributo y tipo especificados;Proposed;;;;
22;¿Cuál es la media o el rango de estadísticas por nivel evolutivo?;Media de estadísticas de todos los Digimon del nivel evolutivo específico;Proposed;;;;
23;¿Qué Digimon de etapa "Rookie" tienen el atributo "Earth"?;Lista de nombre/nombres de Digimon de la etapa y atributo especificados;Proposed;;;;
24;¿Qué Digimon pueden aprender habilidades de un tipo especifico?;Lista de nombres de Digimon que pueden aprender movimientos del tipo especificado;Proposed;;;;
25;¿Qué Digimon tiene el valor de "Atk" (Ataque) más alto?;Nombre del Digimon con mayor ATK;Proposed;;;;
26;¿Cuáles son los Digimon que tienen más de 1500 HP base?;Lista de nombres de Digimon con HP mayor al especificado;Proposed;;;;
